source_group,variant_index,variant_count,split,filename,plate_instance_count,review_status
00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,1,4,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.096311dfc6c9b41269153e9454ebd2aa.jpg,1,accepted_training_positive
00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,2,4,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.4bc24ac6dfc7853e64b9d5cc039cc943.jpg,3,reject_mosaic_collage
00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,3,4,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.8d4b93d2db307b357d423d2bf2a5caa4.jpg,4,reject_mosaic_collage
00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,4,4,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.c8f51d54b911dd1beca136aba5b6cfee.jpg,1,accepted_training_positive
0025288e6192dc18_jpg,1,1,valid,0025288e6192dc18_jpg.rf.5bd34e8f279a8c0bea42bbf03f88bad5.jpg,1,reject_plate_or_ocr_crop
00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,1,3,train,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.9fb7854852a0ddcf6fbd2ed8197fd212.jpg,1,accepted_training_positive
00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,2,3,train,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.cb6fa1912142b36bbae6b1351e0c77ba.jpg,3,reject_mosaic_collage
00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,3,3,valid,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.2823ddf08ff2682720bbfd7e6f9e100f.jpg,3,reject_mosaic_collage
006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg,1,2,train,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.2326adca7d0b5acad84de1b79e39d854.jpg,1,accepted_training_positive
006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg,2,2,train,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.7a66c9046d484ae30d1ff217bdd234e8.jpg,1,accepted_training_positive
00a8d9ab7c3b9c0e2_jpg,1,1,train,00a8d9ab7c3b9c0e2_jpg.rf.5190153ceb91b68bb698d101ae13e23a.jpg,1,reject_plate_or_ocr_crop
00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,1,3,train,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.52606ce35a980455b7d5801788a4bac3.jpg,4,reject_mosaic_collage
00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,2,3,train,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.9c5018a2cb99039c2ab16fcafb9144fb.jpg,1,accepted_training_positive
00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,3,3,valid,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.e96a9a27c5e9e28ab0f4b8cc6461d8b9.jpg,1,accepted_training_positive
00b6f96c840767fa_jpg,1,1,valid,00b6f96c840767fa_jpg.rf.4942e96bb14180d24d585c3e7132402f.jpg,1,reject_plate_or_ocr_crop
00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg,1,3,train,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.3e3fc093e285f5860082d385bfb8d68a.jpg,3,reject_mosaic_collage
