source_dataset,source_image_name,box_index,source_class,canonical_class,xmin,ymin,xmax,ymax,image_width,image_height,real_synthetic,allowed_split,source_dataset_url,license_name,license_url,license_reference
elpd,filename_prefix_00003_.png,1,license-plate,license_plate,394.57,610.3,563.83,659.09,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00005_.png,1,license-plate,license_plate,223.3,528.4,359.8,565.9,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00005_.png,2,license-plate,license_plate,941.9,441.5,1024.0,462.0,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00006_.png,1,license-plate,license_plate,771.43,671.1,874.9,709.7,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00007_.png,1,license-plate,license_plate,538.6,713.0,651.3,738.75,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00008_.png,1,license-plate,license_plate,1105.24,418.67,1264.3,460.6,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00008_.png,2,license-plate,license_plate,645.0,761.31,967.0,844.9,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00009_.png,1,license-plate,license_plate,303.14,982.75,380.25,1015.01,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00009_.png,2,license-plate,license_plate,969.7,1035.21,1122.91,1082.0,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00010_.png,1,license-plate,license_plate,480.4,539.48,638.4,578.7,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00011_.png,1,license-plate,license_plate,677.1,510.7,790.9,543.3,1024,1024,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
elpd,filename_prefix_00012_.png,1,license-plate,license_plate,750.79,1134.53,999.75,1196.41,1536,1536,SYNTHETIC,TRAIN_ONLY,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv
