source_dataset,source_image_name,source_annotation_name,source_image_path,source_annotation_path,source_image_sha256,source_annotation_sha256,image_width,image_height,plate_instance_count,filter_status,filter_reason,real_synthetic,allowed_split,canonical_class,license_name,license_url,license_reference,source_dataset_url
elpd,filename_prefix_00003_.png,filename_prefix_00003_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00003_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00003_.xml,f18ca8a95c7a8d6c79c22c398817270bf9021adac30a8b0eab29c63f663c92b9,7a8bc8ef39d00c8d5422e505164e3e023cd59fe81c9b8dc7437159580e7f4fa2,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00005_.png,filename_prefix_00005_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00005_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00005_.xml,c649b2f00ecb4925b2e1a431d6002a089f0837a0bb9c5096ea60f2b39239aa49,1c5cd9777bfcac7b50af23350248944d85a6781d216351c5a9d3cb16411aef31,1024,1024,2,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00006_.png,filename_prefix_00006_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00006_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00006_.xml,d2e458184470dc12809fb9ff6aac1737a5b646ce1ba67007d72c4cb0001c79cb,86e4aaff1ec682c7697011156ad96718c842dc7850541f49338aa65ea73e52fd,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00007_.png,filename_prefix_00007_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00007_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00007_.xml,c6eb522128a74d255320647909d01c83dccae05693f8c6440196c1490c7c1cc5,fbee2d33d7fd32d7712f32d9823973679c31d4e4bfd20398fd2a8736404c89d9,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00008_.png,filename_prefix_00008_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00008_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00008_.xml,21f2538f3fd1dfc8511393b528914bd1509eb1b9e8f2016662465fbeee7fa1ed,04e564391e12616df14ad554c22c7c1c1102ff0ec4ed7c5e928d1b82388704b5,1536,1536,2,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00009_.png,filename_prefix_00009_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00009_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00009_.xml,72e3f202c608b85016ae1e2ccb8b8ba3911f31747c0d02e5f3645bff9b8a3e7e,160e26167253e75a32f7989b9fbacab0feb6d5223186cba815ee2a6c653b923c,1536,1536,2,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00010_.png,filename_prefix_00010_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00010_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00010_.xml,0d02d68c14fa34caf659db58b2f992ab74fc62651ed53e1885cd7fe3c37d9de3,8d7ece36e38057562b1287e49e44505942b9cc4bdc73ba32242992673b9f546e,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00011_.png,filename_prefix_00011_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00011_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00011_.xml,63392538285bc7fdb828480f69a7ff6a74c6a72e527cccd7ecaacd041207e750,cc2da4ba0a9140a9c832c40f29510539844705cbef1d9b4bc3a19e8964b218f3,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00012_.png,filename_prefix_00012_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00012_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00012_.xml,183b0aaba6eff594e0b8f800e1e2c52a8b32907b04a0ca2b67d017e663297e1e,d9733b3b7181da327fbd6552de7a02e116901dee269b86fc2ef18279f4ccd419,1536,1536,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00013_.png,filename_prefix_00013_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00013_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00013_.xml,cfef070293840d07af095af213691cc1e4dbd681c87b9310c0e7d502cb99cc36,6f83a0e697dbced7859284a85718b76a56fdee237c2ea5d138b90acad0bab053,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00014_.png,filename_prefix_00014_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00014_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00014_.xml,cc1ca707ee1f7d259c03b85b2bc24decdf923656a89cccd769364e76f809f8e5,2c7eb0e736a660352175df072791a778379029154262bc49ce7044c74d52a8f2,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00015_.png,filename_prefix_00015_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00015_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00015_.xml,35534eb7dcc1fd7a8fe61fd5a7661557d14915f90f49a9eadddb605539992843,3e5d104334f564a963de99f9e5b4d5fff7544bd8b027d6770c8bcf02544ae238,1536,1536,2,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00016_.png,filename_prefix_00016_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00016_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00016_.xml,0bde8c5987b8e1234991f8af135fc8ccef12ba285b93c5562ef672618e810d58,c84cd1bca2cf634dbb78aebc9e17d7eb5ecdece128c0331157e4b1a612d559da,1024,1024,1,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
elpd,filename_prefix_00017_.png,filename_prefix_00017_.xml,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/JPEGImages/filename_prefix_00017_.png,AI/PlateDetector/datasets/raw/elpd/PASCAL_VOC/Annotations/filename_prefix_00017_.xml,c0b82722d748ac8954cefec17d1b9e49ce31b59610a790f54b413af9204ef1a3,a88d620cc278cd74a81565b230fc69abe75c59c29e43bd29fac85aedec9836e2,1536,1536,2,accepted,,SYNTHETIC,TRAIN_ONLY,license_plate,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,AI/PlateDetector/datasets/provenance/elpd/elpd_provenance.csv,https://www.kaggle.com/datasets/tielemarvin/european-license-plate-dataset-elpd
