source_dataset,source_group,source_split,filename,box_index,class_name,x,y,width,height,image_width,image_height,canonical_class
kaggle_plate_license_recognition,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.096311dfc6c9b41269153e9454ebd2aa.jpg,1,LicensePlate,195,210,205.0,203.0,640,640,license_plate
kaggle_plate_license_recognition,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg,train,00125d8d-09b8-4a6e-9d2f-e2c240d22b38_jpg.rf.c8f51d54b911dd1beca136aba5b6cfee.jpg,1,LicensePlate,183,198,221.0,225.0,640,640,license_plate
kaggle_plate_license_recognition,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg,train,00625e8e-a5e5-4fe5-b454-dccad9d8d677_jpg.rf.9fb7854852a0ddcf6fbd2ed8197fd212.jpg,1,LicensePlate,229,401,191.0,156.0,640,640,license_plate
kaggle_plate_license_recognition,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg,train,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.2326adca7d0b5acad84de1b79e39d854.jpg,1,LicensePlate,153,119,302.0,311.0,640,640,license_plate
kaggle_plate_license_recognition,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg,train,006ac91c-3d2a-4985-9fae-ed3f545f994f_jpg.rf.7a66c9046d484ae30d1ff217bdd234e8.jpg,1,LicensePlate,159,138,285.0,277.0,640,640,license_plate
kaggle_plate_license_recognition,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,train,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.9c5018a2cb99039c2ab16fcafb9144fb.jpg,1,LicensePlate,246,276,114.0,110.0,640,640,license_plate
kaggle_plate_license_recognition,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg,valid,00adf93a-2b6e-4940-a39e-9f9cd9d98207_jpg.rf.e96a9a27c5e9e28ab0f4b8cc6461d8b9.jpg,1,LicensePlate,246,276,114.0,110.0,640,640,license_plate
kaggle_plate_license_recognition,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg,train,00bc6c35-3eec-4fb5-bdd3-e5d8656b014f_jpg.rf.9fb570a8c76c37b40fb667f50e11fdd8.jpg,1,LicensePlate,198,243,105.0,113.0,640,640,license_plate
kaggle_plate_license_recognition,00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg,train,00c86d7c-4764-4f2c-aa1d-578d73e83f9e_jpg.rf.4957e3847f318d93039d3bbb2c48f263.jpg,1,LicensePlate,230,230,153.0,160.0,640,640,license_plate
kaggle_plate_license_recognition,00f30ef5-1e8a-4a89-ac87-b9a5905582ec_jpg,valid,00f30ef5-1e8a-4a89-ac87-b9a5905582ec_jpg.rf.e8eabfba685fa1db6384a7192243aed6.jpg,1,LicensePlate,181,310,189.0,169.0,640,640,license_plate
kaggle_plate_license_recognition,011d8b71-8bb9-4c8e-8b10-89952740b973_jpg,valid,011d8b71-8bb9-4c8e-8b10-89952740b973_jpg.rf.909cd75e07aeea78dabbad983e5102d0.jpg,1,LicensePlate,148,128,257.0,221.0,640,640,license_plate
kaggle_plate_license_recognition,01256cfb-c380-4acc-9c12-ce37f0f20ca8_jpg,valid,01256cfb-c380-4acc-9c12-ce37f0f20ca8_jpg.rf.bfb84b80f431188edbef89b2195d2594.jpg,1,LicensePlate,305,187,66.0,68.0,640,640,license_plate
kaggle_plate_license_recognition,018b680a-02bd-4b03-9548-972c21879ea1_jpg,train,018b680a-02bd-4b03-9548-972c21879ea1_jpg.rf.dd45ae788e8130c0d39c7b36380bd3a2.jpg,1,LicensePlate,225,179,84.0,94.0,640,640,license_plate
kaggle_plate_license_recognition,01_jpg,train,01_jpg.rf.710753a3a9486ff161391ed60c46458b.jpg,1,LicensePlate,152,602,17.0,25.0,640,640,license_plate
kaggle_plate_license_recognition,01_jpg,train,01_jpg.rf.710753a3a9486ff161391ed60c46458b.jpg,2,LicensePlate,89,601,17.0,22.0,640,640,license_plate
kaggle_plate_license_recognition,01_jpg,train,01_jpg.rf.710753a3a9486ff161391ed60c46458b.jpg,3,LicensePlate,272,611,22.0,22.0,640,640,license_plate
