source_dataset,source_split,image_id,source_image_name,source_label_name,source_image_path,source_label_path,image_width,image_height,plate_instance_count,clip_required_box_count,non_clippable_box_count,max_overshoot,real_synthetic,is_negative,canonical_class,ImageID,LocalKaggleSplit,LocalFileName,OpenImagesSplit,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,SourceMetadataURL,_source_csv
open_images_v7,train,00009e5b390986a0,00009e5b390986a0.jpg,00009e5b390986a0.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/00009e5b390986a0.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/00009e5b390986a0.txt,1024,682,2,0,0,0.0,REAL,False,license_plate,00009e5b390986a0,train,00009e5b390986a0.jpg,train,https://farm1.staticflickr.com/3609/3338003957_691f6c0186_o.jpg,https://www.flickr.com/photos/rictor-and-david/3338003957,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/rictor-and-david/,Rictor Norton  &amp; David Allen,Cookham,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,000228608388803f,000228608388803f.jpg,000228608388803f.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/000228608388803f.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/000228608388803f.txt,1024,768,1,0,0,0.0,REAL,False,license_plate,000228608388803f,train,000228608388803f.jpg,train,https://c8.staticflickr.com/6/5495/11528323225_502982b2d0_o.jpg,https://www.flickr.com/photos/nzcarfreak/11528323225,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/nzcarfreak/,Riley,1993 Rover 114,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,00043e7c5c4c025a,00043e7c5c4c025a.jpg,00043e7c5c4c025a.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/00043e7c5c4c025a.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/00043e7c5c4c025a.txt,1024,768,1,0,0,0.0,REAL,False,license_plate,00043e7c5c4c025a,train,00043e7c5c4c025a.jpg,train,https://c3.staticflickr.com/3/2701/4143595011_5eae1a4ddb_o.jpg,https://www.flickr.com/photos/msvg/4143595011,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/msvg/,Michael Gil,Foggy Morning.,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,0005ea10e0e14db1,0005ea10e0e14db1.jpg,0005ea10e0e14db1.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/0005ea10e0e14db1.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/0005ea10e0e14db1.txt,1024,683,1,0,0,0.0,REAL,False,license_plate,0005ea10e0e14db1,train,0005ea10e0e14db1.jpg,train,https://farm2.staticflickr.com/3107/2651680708_53048533e6_o.jpg,https://www.flickr.com/photos/d_lee/2651680708,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/d_lee/,lmnop88a,IMG_1363,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,0006dc0977056410,0006dc0977056410.jpg,0006dc0977056410.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/0006dc0977056410.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/0006dc0977056410.txt,1024,964,1,0,0,0.0,REAL,False,license_plate,0006dc0977056410,train,0006dc0977056410.jpg,train,https://farm1.staticflickr.com/4064/4493125470_c6f23a08cf_o.jpg,https://www.flickr.com/photos/didbygraham/4493125470,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/didbygraham/,Graham Richardson,Monks & Crane DX07OCB,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,00071c51c8e92a68,00071c51c8e92a68.jpg,00071c51c8e92a68.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/00071c51c8e92a68.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/00071c51c8e92a68.txt,768,768,1,0,0,0.0,REAL,False,license_plate,00071c51c8e92a68,train,00071c51c8e92a68.jpg,train,https://c1.staticflickr.com/8/7618/16835211777_7006cc6bfc_o.jpg,https://www.flickr.com/photos/sjoerdlammers/16835211777,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/sjoerdlammers/,Sjoerd Lammers,Sjoerd Lammers street photography,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,00072b81abc72d21,00072b81abc72d21.jpg,00072b81abc72d21.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/00072b81abc72d21.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/00072b81abc72d21.txt,1024,684,1,0,0,0.0,REAL,False,license_plate,00072b81abc72d21,train,00072b81abc72d21.jpg,train,https://farm2.staticflickr.com/7406/9428057556_75f20e1c5f_o.jpg,https://www.flickr.com/photos/97930879@N02/9428057556,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/97930879@N02/,tommy japan,8333426694_3831384705_o,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,000812dcf304a8e7,000812dcf304a8e7.jpg,000812dcf304a8e7.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/000812dcf304a8e7.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/000812dcf304a8e7.txt,1024,898,1,0,0,0.0,REAL,False,license_plate,000812dcf304a8e7,train,000812dcf304a8e7.jpg,train,https://farm8.staticflickr.com/8090/8561307304_cacfe151e2_o.jpg,https://www.flickr.com/photos/thoseguys119/8561307304,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/thoseguys119/,ThoseGuys119,First Student #125,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,000883b46adeca7e,000883b46adeca7e.jpg,000883b46adeca7e.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/000883b46adeca7e.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/000883b46adeca7e.txt,1024,773,1,0,0,0.0,REAL,False,license_plate,000883b46adeca7e,train,000883b46adeca7e.jpg,train,https://c7.staticflickr.com/3/2447/3799589580_4b73283f92_o.jpg,https://www.flickr.com/photos/39302751@N06/3799589580,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/39302751@N06/,Spanish Coches,Volkswagen Golf LX MKI [Typ 17],https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
open_images_v7,train,0009c4ddcaab18d3,0009c4ddcaab18d3.jpg,0009c4ddcaab18d3.txt,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/images/train/0009c4ddcaab18d3.jpg,AI/PlateDetector/datasets/raw/open_images_lp_kaggle/labels/train/0009c4ddcaab18d3.txt,1024,768,2,0,0,0.0,REAL,False,license_plate,0009c4ddcaab18d3,train,0009c4ddcaab18d3.jpg,train,https://farm4.staticflickr.com/8506/8431486042_b6cb998547_o.jpg,https://www.flickr.com/photos/8058098@N07/8431486042,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/8058098@N07/,nakhon100,BMW X6,https://storage.googleapis.com/openimages/2018_04/train/train-images-boxable-with-rotation.csv,AI/PlateDetector/datasets/provenance/open_images_lp_kaggle/open_images_provenance.csv
